Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
stand_base,-0.00244095696499763,0.0834846502705878,0.0120971081555862,0,0,0,17.4192822915786,0.365207090762505,1.51826662793011E-05,-4.58049242566518E-08,0.347003054917912,-5.19603726593645E-07,0.177730015853551,0,0,0,0,0,0,package://harvest-studio/meshes/stand_base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://harvest-studio/meshes/stand_base.STL,,harvest-studio-frame-1;realsense-stand-1;container-1;left-arm-1/bearing-plate-1;left-arm-1/shoulder-plate-1;left-arm-1/20x20-60-1;left-arm-1/20x20-550-2;left-arm-1/20x20-550-4;left-arm-1/20x20-160-1;left-arm-1/20x20-550-1;left-arm-1/20x20-550-3;left-arm-1/20x20-160-2;left-arm-1/20x20-60-4;left-arm-1/20x20-160-3;left-arm-1/20x20-60-8;left-arm-1/20x20-60-7;left-arm-1/mabuchi-motor-1;left-arm-1/20x20-60-3;left-arm-1/motor-plate-1;left-arm-1/spacer-30-2;left-arm-1/spacer-30-1;left-arm-1/spacer-30-3;left-arm-1/spacer-30-4;left-arm-1/belt-pulley-mini-1;left-arm-1/as5601-1;left-arm-1/encoder-cover-1;left-arm-1/elbow-plate-2;left-arm-1/玉軸受15_FL6700ZZ-1;left-arm-1/elbow-plate-1;left-arm-1/玉軸受15_FL6700ZZ-2;right-arm-1/bearing-plate-1;right-arm-1/shoulder-plate-1;right-arm-1/20x20-550-1;right-arm-1/20x20-60-2;right-arm-1/20x20-550-3;right-arm-1/20x20-160-1;right-arm-1/20x20-60-1;right-arm-1/20x20-550-2;right-arm-1/20x20-550-4;right-arm-1/20x20-60-7;right-arm-1/20x20-60-8;right-arm-1/motor-plate-1;right-arm-1/mabuchi-motor-1;right-arm-1/belt-pulley-mini-1;right-arm-1/spacer-30-2;right-arm-1/spacer-30-1;right-arm-1/spacer-30-4;right-arm-1/spacer-30-3;right-arm-1/as5601-1;right-arm-1/encoder-cover-1;right-arm-1/20x20-160-2;right-arm-1/20x20-160-3;right-arm-1/20x20-60-3;right-arm-1/20x20-60-4;right-arm-1/elbow-plate-2;right-arm-1/elbow-plate-1;right-arm-1/玉軸受15_FL6700ZZ-2;right-arm-1/玉軸受15_FL6700ZZ-1;center-roll-main-1;camera-stand-1/horizontal-plate-1;camera-stand-1/dynamixel-vertical-frame-1;camera-stand-1/dynamixel-vertical-frame-2;camera-stand-1/horizontal-plate-2;camera-stand-1/AX12-A-1/Assembly.stp-1/ax-12.stp-1;camera-stand-1/al-spacer32-1;camera-stand-1/al-spacer32-2;camera-stand-1/circuit-1;camera-stand-1/al-spacer20-3;camera-stand-1/al-spacer20-4;camera-stand-1/al-spacer20-1;camera-stand-1/al-spacer20-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
azure_camera_link,-2.657383322537E-06,0.00348132910528381,0.0446566695341433,0,0,0,2.78889236681522,0.00412183232658945,4.09236432683366E-07,-3.17078316364308E-08,0.00242404662476713,0.000234310769319999,0.00609587810828995,0,0,0,0,0,0,package://harvest-studio/meshes/azure_camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://harvest-studio/meshes/azure_camera_link.STL,,camera-stand-1/OF-12SH-1;camera-stand-1/kinect2dynamixel-1;camera-stand-1/Azure Kinect DK-1,Origin_azure_camera_joint,,azure_camera_joint,revolute,0.00385,0.465,0.98,0,0,-3.1416,stand_base,1,0,0,0,0,-0.5,0.5,,,,,,,,
right_arm_link,-0.0921692043278863,0.101109637912098,-0.00094798511080818,0,0,0,0.879635804902705,0.00101359963830436,0.000345626145803582,1.59140398416402E-07,0.00110135479443889,7.17570599023293E-08,0.000932982342715155,0,0,0,0,0,0,package://harvest-studio/meshes/right_arm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://harvest-studio/meshes/right_arm_link.STL,,right-arm-1/elbow-shaft-1;right-arm-1/elbow-plate2-2;right-arm-1/arm-jointrock-12-1;right-arm-1/arm-jointrock-12-3;right-arm-1/belt-pulley-large-1;right-arm-1/arm-jointrock-12-4;right-arm-1/arm-jointrock-12-2;right-arm-1/elbow-plate2-1;right-arm-1/20x20-60-5;right-arm-1/20x20-130-2;right-arm-1/20x20-Diagonal190-1;right-arm-1/20x20-300-1;right-arm-1/20x20-60-6;right-arm-1/20x20-Diagonal190-2;right-arm-1/20x20-300-2;right-arm-1/20x20-130-1;right-arm-1/20x20-170-1;right-arm-1/hand-plate-1;right-arm-1/hand-plate-spring-1;right-arm-1/spacer-20-2;right-arm-1/spacer-20-1;right-arm-1/bush6-1;right-arm-1/bush6-2;right-arm-1/hand-bearing-cover-1;right-arm-1/micro-switch-holder-r-1;right-arm-1/micro_switch-2;right-arm-1/hand-shaft-1;right-arm-1/Roll_ROCUS50-15-100-1/Core_玉軸受15_ROCUS50-15-100-1;right-arm-1/Roll_ROCUS50-15-100-1/Lining_玉軸受15_ROCUS50-15-100-1;right-arm-1/hand-shaft-2;right-arm-1/hand-bearing-cover-2;right-arm-1/hand-plate-2;right-arm-1/spacer-20-4;right-arm-1/spacer-20-3;right-arm-1/bush6-4;right-arm-1/bush6-3;right-arm-1/hand-plate-spring-2;right-arm-1/玉軸受15_FL6700ZZ-4;right-arm-1/玉軸受15_FL6700ZZ-3,Origin_right_arm_joint,,right_arm_joint,revolute,-0.30665,-0.4925,-0.155,3.1416,0,0.90153,stand_base,0,1,0,0,0,-1,1,,,,,,,,
left_arm_link,-0.13125187743035,0.0386239273471152,0.000950962918044584,0,0,0,0.879657265086363,0.00073064298535606,0.000120666064530641,-9.10646468836211E-08,0.00138432044490653,-1.38587279405028E-07,0.000932986858091463,0,0,0,0,0,0,package://harvest-studio/meshes/left_arm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://harvest-studio/meshes/left_arm_link.STL,,left-arm-1/elbow-shaft-1;left-arm-1/arm-jointrock-12-2;left-arm-1/elbow-plate2-1;left-arm-1/arm-jointrock-12-4;left-arm-1/belt-pulley-large-1;left-arm-1/arm-jointrock-12-3;left-arm-1/arm-jointrock-12-1;left-arm-1/elbow-plate2-2;left-arm-1/20x20-Diagonal190-1;left-arm-1/20x20-60-5;left-arm-1/20x20-130-2;left-arm-1/20x20-300-1;left-arm-1/20x20-130-1;left-arm-1/20x20-60-6;left-arm-1/20x20-300-2;left-arm-1/20x20-Diagonal190-2;left-arm-1/20x20-170-1;left-arm-1/hand-plate-2;left-arm-1/hand-plate-spring-2;left-arm-1/bush6-3;left-arm-1/bush6-4;left-arm-1/spacer-20-4;left-arm-1/spacer-20-3;left-arm-1/micro-switch-holder-l-1;left-arm-1/micro_switch-1;left-arm-1/hand-shaft-2;left-arm-1/Roll_ROCUS50-15-100-1/Core_玉軸受15_ROCUS50-15-100-1;left-arm-1/Roll_ROCUS50-15-100-1/Lining_玉軸受15_ROCUS50-15-100-1;left-arm-1/hand-shaft-1;left-arm-1/hand-bearing-cover-1;left-arm-1/hand-plate-1;left-arm-1/hand-plate-spring-1;left-arm-1/spacer-20-1;left-arm-1/spacer-20-2;left-arm-1/bush6-1;left-arm-1/bush6-2;left-arm-1/玉軸受15_FL6700ZZ-3;left-arm-1/玉軸受15_FL6700ZZ-4;left-arm-1/hand-bearing-cover-2,Origin_left_arm_joint,,left_arm_joint,revolute,0.30835,-0.505,-0.155,0,0,1.6946,stand_base,0,1,0,0,0,-1,1,,,,,,,,
xArm_5_Lite,-0.571524666474263,0.299537834362898,-0.192017553596648,0,0,0,8.12684778121861,0.0317436535196432,8.74294723952674E-05,-0.000698945548526394,0.0145155514854216,-0.00266520428215521,0.0333350986714747,0,0,0,0,0,0,package://harvest-studio/meshes/xArm_5_Lite.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://harvest-studio/meshes/xArm_5_Lite.STL,,xArm5-1,Origin_xarm_joint,,xarm_joint,fixed,0.4659,0.34412,0.015649,1.5708,0,1.0472,stand_base,0,0,0,,,,,,,,,,,,
end_effector,-9.11500058244363E-05,0.00639552591800449,-0.001811197649131,0,0,0,0.49484420134997,0.000184779666763685,-6.20479155585265E-08,-1.82180240805302E-06,0.000219324560796222,-1.12666169067249E-07,0.000188487226347135,0,0,0,0,0,0,package://harvest-studio/meshes/end_effector.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://harvest-studio/meshes/end_effector.STL,,hand-1,Origin_end_effector_joint,Axis_end_effector_joint,end_effector_joint,fixed,-0.7103,0,-0.12789,0,0,3.1416,xArm_5_Lite,0,0,0,,,,,,,,,,,,
